,ICE,ROP,MA,V,SPGI,TYL,MSCI,MCO,MKTX,TW,ADSK,6861.T,DHR,CSGP,ISRG,WDAY,VACNY,NOW,CDNS,TSM,ASML,FICO,FOUR,SNPS,MRVI
ICE,1.0000000000000002,0.5034855009592926,0.509688351912387,0.4579861675152455,0.5869884561842096,0.42271862280344663,0.4542476523623717,0.6072944432588737,0.31020462710782387,0.4534110529249369,0.4173612104424858,0.03154915223593847,0.3519984558035983,0.3899417709232217,0.3672598581235935,0.3058298085826513,0.16753418578158408,0.34654101181905067,0.3182468389949444,0.2115460136262211,0.26313255709908123,0.3392088842925567,0.2897739416640959,0.2704602363515669,0.13430728309444306
ROP,0.5034855009592926,1.0,0.597975777814608,0.5844915902923657,0.5801460806593517,0.5049809316797731,0.4662492029839363,0.6186883894072426,0.2582041815775864,0.3040197273570567,0.5169977739520024,0.003760316124543995,0.43675833234566774,0.46428380993781876,0.3926499572622358,0.4615688351381272,0.22061651629133913,0.47133485583745566,0.48337153305059555,0.2877850167521846,0.3597065926428339,0.4341302661530851,0.32978477548167784,0.4205379686575969,0.11058268080907936
MA,0.509688351912387,0.597975777814608,1.0,0.8606490525903148,0.6031179717318529,0.44237233973174345,0.4793087467103072,0.6405545995875805,0.15993100256506212,0.30776829786014714,0.48951892651794154,0.10376140968245226,0.4025152922655706,0.3769118573422697,0.4433602157248903,0.4256358781641304,0.22014209178972652,0.406188254091932,0.3885803594680857,0.27867702397089417,0.34837172490411,0.3937224225903458,0.3721664052534765,0.3482662663542267,0.1747460093659117
V,0.4579861675152455,0.5844915902923657,0.8606490525903148,1.0,0.5637039722726129,0.40672660765227525,0.44603921675378216,0.6120503651424058,0.14902611954875344,0.33275467360742417,0.43434658542316507,0.06030107374125286,0.37641557771266715,0.3475661669657863,0.4115228980417671,0.4199907332129828,0.18106811472087142,0.3980503568657315,0.376392663360819,0.26293800474208234,0.312176923289195,0.3849331475767806,0.3724754088045521,0.3469258795369943,0.18791616133888978
SPGI,0.5869884561842096,0.5801460806593517,0.6031179717318529,0.5637039722726129,1.0,0.5668907576831024,0.6260805441624308,0.8695750311596038,0.29131488718672044,0.32961769630639015,0.5083129610900636,0.08329854628375008,0.4757557628359618,0.45753787323459033,0.4902688140488129,0.3995046976557244,0.27659164712373585,0.4663410303362458,0.4240191416110025,0.3189850496447367,0.3733110267574979,0.4465822985880677,0.3791426959615294,0.3564777995927466,0.1732678956393856
TYL,0.42271862280344663,0.5049809316797731,0.44237233973174345,0.40672660765227525,0.5668907576831024,0.9999999999999998,0.45741323924530164,0.5446740043964546,0.2406910160568029,0.2507697223165987,0.5138585036976887,0.002057280615535394,0.33056127919686135,0.40551770578131296,0.3818474710591082,0.4685601139341729,0.19573969291775686,0.491109488034248,0.3654678224077921,0.2750057011117935,0.3289617303321298,0.38240627485882195,0.3254788882374253,0.34761686701436406,0.14635831819276182
MSCI,0.4542476523623717,0.4662492029839363,0.4793087467103072,0.44603921675378216,0.6260805441624308,0.45741323924530164,1.0,0.6100967356170615,0.23442211564443932,0.33021428919659584,0.4858178994342205,0.06394217020495745,0.4512887420751626,0.38876100593757146,0.41509506191115314,0.3856924817137128,0.25991023801570956,0.4332556240828645,0.3691155912337363,0.28672956481372375,0.35651578926212807,0.37102091630737866,0.3268140704481015,0.30343827536364765,0.12737694133564786
MCO,0.6072944432588737,0.6186883894072426,0.6405545995875805,0.6120503651424058,0.8695750311596038,0.5446740043964546,0.6100967356170615,1.0,0.27024446865834295,0.3710481294407979,0.5725690537208582,0.09518775636192177,0.4816979575430795,0.47519589586550437,0.5144691145136646,0.44329221650295036,0.32395932757873125,0.5073256183402307,0.45845250594466197,0.35788597042493786,0.4242959112742637,0.5230562888161165,0.4047900951639731,0.3808960345119289,0.18155509485337432
MKTX,0.31020462710782387,0.2582041815775864,0.15993100256506212,0.14902611954875344,0.29131488718672044,0.2406910160568029,0.23442211564443932,0.27024446865834295,1.0,0.3240846092187211,0.22289810679630678,0.07791097903003263,0.18684629625013355,0.2130874534043493,0.0715249620626514,0.16449095794375532,0.07681852290992659,0.15287655628840693,0.14517036427728214,0.10313701667559673,0.09632806226051809,0.14733628841430438,0.22494422015937662,0.11565439445919311,0.1122708639965307
TW,0.4534110529249369,0.3040197273570567,0.30776829786014714,0.33275467360742417,0.32961769630639015,0.2507697223165987,0.33021428919659584,0.3710481294407979,0.3240846092187211,0.9999999999999998,0.23030732914715532,0.047561874620148825,0.21090277723216902,0.17510850696645847,0.23301400760331548,0.22435018392318212,0.12536696914184192,0.26208474714485513,0.24765556897235916,0.21886671585689518,0.20871946084963489,0.2516007309236482,0.1938879353067115,0.19014336280536157,0.06004706830532764
ADSK,0.4173612104424858,0.5169977739520024,0.48951892651794154,0.43434658542316507,0.5083129610900636,0.5138585036976887,0.4858178994342205,0.5725690537208582,0.22289810679630678,0.23030732914715532,1.0,0.07005907326549958,0.3691010295126752,0.4019266659655781,0.4785818459472577,0.5637765907791453,0.27437477611181693,0.5915457187903259,0.5366199227385445,0.40998035870964233,0.4755180397016452,0.4585155837860012,0.41925639341498366,0.41092738316709404,0.15568690830366513
6861.T,0.03154915223593847,0.003760316124543995,0.10376140968245226,0.06030107374125286,0.08329854628375008,0.002057280615535394,0.06394217020495745,0.09518775636192177,0.07791097903003263,0.047561874620148825,0.07005907326549958,1.0,0.041199769784987086,0.029282914152858917,0.021891015564233677,0.05348839518662071,0.15710219835239325,0.07489877019621925,0.07797816518362792,0.08180688922100493,0.039902250922397575,0.04719140640049339,0.05569962732452313,0.06454278903398726,0.0901787472236733
