,ICE,ROP,MA,V,SPGI,TYL,MSCI,MCO,MKTX,TW,ADSK,6861.T,DHR,CSGP,ISRG,WDAY,VACNY,NOW,CDNS,TSM,ASML,FICO,FOUR,SNPS,MRVI
ICE,0.03663415205603621,0.018865850017357078,0.020061617725154583,0.01744793256573149,0.02575020379473761,0.02302787077267803,0.026587351621789677,0.030252346537928774,0.021134968968560753,0.022961821025311566,0.025386378315283373,0.0019360696068862972,0.019289646768364685,0.022838257789129235,0.022317364029105186,0.021897979353383338,0.014265350795645249,0.025710172760554505,0.021915331205641243,0.016142718386630756,0.021251826800604712,0.02622396076908884,0.027572836932876925,0.02408026377671838,0.020760941991236712
ROP,0.018865850017357078,0.03832592754253634,0.024073991324632883,0.022775774010829034,0.026031053092387936,0.02813718506943682,0.027912822599764676,0.031523540642472266,0.017993675309173618,0.01574777696095792,0.03216478130443092,0.00023602657037209376,0.024480933884079122,0.027813139622330577,0.024404968707450174,0.03380367924479655,0.019214111391294975,0.035767054681577586,0.03404617093140211,0.022461733432399673,0.029714836463834722,0.03432846606661623,0.03209637547242701,0.03829713577622784,0.017483882152769446
MA,0.020061617725154583,0.024073991324632883,0.04228986905237322,0.03522839085631997,0.02842683300581442,0.025891992044589154,0.030142053782762544,0.03428396251625751,0.011707417363057443,0.016746081699723196,0.03199140034211602,0.006841388216544363,0.023699599102831353,0.02371800245323291,0.028946846187771193,0.03274443915497358,0.02013989507347276,0.032378208452079976,0.028750134705507982,0.022847994571639593,0.030230106615301688,0.03270365669147181,0.03804822402464794,0.033315345769922865,0.029022168291273787
V,0.01744793256573149,0.022775774010829034,0.03522839085631997,0.039618413634001155,0.025716252090610223,0.023041484504992753,0.027149441585670835,0.031706798283927744,0.010558961470453503,0.017524428255084774,0.02747454730169119,0.003848254519513429,0.02145144607141706,0.021169284259185777,0.026005721649193705,0.03127299002165445,0.01603343093138202,0.030710991834470784,0.0269544552099901,0.020865589389509866,0.026219713795003128,0.030947234667422264,0.03685744266617052,0.03212180814060827,0.030207660561026133
SPGI,0.02575020379473761,0.026031053092387936,0.02842683300581442,0.025716252090610223,0.0525310493793456,0.0369799862657038,0.04388110569477074,0.05187185588955441,0.02376736241047192,0.019988937537810312,0.037024125933644535,0.006121187211081434,0.031219974261406276,0.03208892931721971,0.03567538515219253,0.034253983633350346,0.028202203590407617,0.04143038319138967,0.03496506731980976,0.029147889858133012,0.036104178378966956,0.0413425765510018,0.04320060056787775,0.038006271944339344,0.03207233344014271
TYL,0.02302787077267803,0.02813718506943682,0.025891992044589154,0.023041484504992753,0.0369799862657038,0.08100627490850641,0.0398113933114263,0.04034713174000782,0.02438537744217213,0.01888450400213236,0.04647811126958743,0.0001877340574326223,0.02693715690784089,0.03531744611249488,0.03450449002377632,0.049889115536650985,0.0247841585086938,0.05418074087249584,0.03742392587584054,0.03120540192850092,0.03950784287623487,0.04396148324525289,0.046053347860167716,0.04602299915112571,0.03364194995166994
MSCI,0.026587351621789677,0.027912822599764676,0.030142053782762544,0.027149441585670835,0.04388110569477074,0.0398113933114263,0.09351443016225054,0.04855731950725343,0.025518090191227437,0.02671814676222185,0.04721265464865527,0.006269268783575045,0.039512477395039936,0.03637827924557989,0.04030076093679738,0.04412265590838777,0.035358891987867666,0.05135595490688864,0.04061089622046211,0.034957514315543434,0.04600411645935586,0.045827451430109536,0.04968429299470366,0.04316427214597832,0.031458249406716265
MCO,0.030252346537928774,0.031523540642472266,0.03428396251625751,0.031706798283927744,0.05187185588955441,0.04034713174000782,0.04855731950725343,0.067738156752211,0.02503708547801078,0.025551599211729357,0.047357650871985145,0.007943062493138916,0.03589483299268715,0.03784508697878191,0.04251110153753801,0.04316064740447721,0.037509659414597274,0.05118123541485399,0.04292911212154582,0.03713557167279606,0.046597663823066904,0.05498612457762213,0.05237519063836244,0.04611454027853176,0.0381618611785808
MKTX,0.021134968968560753,0.017993675309173618,0.011707417363057443,0.010558961470453503,0.02376736241047192,0.02438537744217213,0.025518090191227437,0.02503708547801078,0.12671281587685929,0.0305238865555937,0.025215189913039015,0.008891993458626063,0.019042993070752696,0.023210702734997285,0.008083403735405878,0.021904505740575772,0.012165001527882711,0.021093975936061268,0.01859212821302908,0.014637051089716599,0.014469106222013226,0.021184001209102982,0.03980743200124662,0.019150810327501492,0.03227615223352633
TW,0.022961821025311566,0.01574777696095792,0.016746081699723196,0.017524428255084774,0.019988937537810312,0.01888450400213236,0.02671814676222185,0.025551599211729357,0.0305238865555937,0.07000713515063686,0.01936531226527804,0.004034784263404492,0.015976950747031975,0.014177463478193576,0.019573998275770305,0.022206429735808213,0.014756733152889988,0.026879437949364284,0.023575456947732717,0.02308764451363626,0.023303046773955543,0.02688877688669041,0.025503570796471083,0.02340275941978193,0.012831203141755303
