,ICE,ROP,MA,V,SPGI,TYL,MSCI,MCO,MKTX,TW,ADSK,6861.T,DHR,CSGP,ISRG,WDAY,VACNY,NOW,CDNS,TSM,ASML,FICO,FOUR,SNPS,MRVI
ICE,0.028500155068496496,0.013610529450031831,0.010374063372490661,0.008788198261695551,0.01979943665160445,0.025304004403983435,0.02268660460451768,0.01752015561305882,0.014941753318050829,0.026318612495460327,0.006864306456972724,-0.00491808537165021,-0.0007057664649447285,0.01678665650555656,0.016710089595944944,0.018304242074110882,-0.0125626061388538,0.012532382772768648,0.017307702450544686,-0.005307219915545669,-0.010572574076840625,0.0026753659655817117,0.007093676804646631,0.040606254880921795,-0.011126478161873395
ROP,0.013610529450031831,0.03156703743637836,0.01685683380769422,0.018158266282633416,0.01444787592608993,0.020391129693071313,0.015677475559295145,0.019655999040716562,0.004612062990846621,0.009497179420317721,0.017714775086455633,-0.005219967691767037,0.017066804469685757,0.015461141423600219,0.013902620169828161,0.02938989528875723,0.001691334868134754,0.023479699670070388,0.020653958203577308,0.0022699505851526327,-0.0004823348749662466,0.01918795921021642,0.015595651810813422,0.044871879383518,-0.007155437191247252
MA,0.010374063372490661,0.01685683380769422,0.035332040456921975,0.030690664154984462,0.0283928555819809,0.016300684643376556,0.021560851935527696,0.031717409220235214,0.0026153083795169133,0.012749828878709674,0.012215994813714978,-0.00188929794362367,0.021771469300455842,0.0120672662789604,0.007117889367242627,0.019442552867231382,0.004113226445323182,0.01775093927490986,0.018499446378257234,-0.0027805876955914145,0.006342501392284097,0.0289137587714836,0.024938777846477037,0.03786905413175473,0.025972688273609257
V,0.008788198261695551,0.018158266282633416,0.030690664154984462,0.038512450568762624,0.02640789981060734,0.011121924757851117,0.019934570056301237,0.03174061463535622,0.004976355006862409,0.01577519879258052,0.011057643733440451,-0.0053213408078547735,0.03067887988166132,0.009717613333621648,0.013484234238751697,0.02320446799403456,-0.011058684240780053,0.019035018397421888,0.020156940528697827,0.0011697422624503356,0.005443049178322384,0.02107802781097732,0.024099978563926528,0.05356497621919107,0.04206890809457749
SPGI,0.01979943665160445,0.01444787592608993,0.0283928555819809,0.02640789981060734,0.05929792435174926,0.03184551834534094,0.04229107638648133,0.0521703344801788,0.016156573881619167,0.02621714793865272,0.004900177231770453,-0.007799827562979615,0.009655293492659683,0.009329567237281374,0.010614899341051235,0.016271494627748205,-0.030507836691194966,0.017964171689772372,0.010820205396562456,-0.008484006225289224,-0.014943267607149535,0.01055799918383768,0.022779419791970252,0.018046744198020995,0.017946278534187576
TYL,0.025304004403983435,0.020391129693071313,0.016300684643376556,0.011121924757851117,0.03184551834534094,0.06825364087166497,0.034173076242885805,0.02648400509195477,0.015310950250834636,0.02015080297624269,0.029619633116031507,-0.011848614454404383,-0.018777739417383123,0.019272519711613995,0.018518443587589733,0.04603929078924852,-0.026503280167314132,0.027989675115170094,0.021469834203902284,-0.021613925971570344,-0.01596372207993051,0.009097270381425358,0.009888519919504311,0.07469616526185058,-0.04568476528942181
MSCI,0.02268660460451768,0.015677475559295145,0.021560851935527696,0.019934570056301237,0.04229107638648133,0.034173076242885805,0.07872260208849503,0.044070974644070116,0.021631962257674043,0.028169023061773133,0.010993727895948706,-0.005282053894301863,-0.0006149434145650382,0.0052774379583764176,0.031831780027071196,0.02936186504684479,0.0059571692949309495,0.025221182052573194,0.01076702856513643,-3.0701958709288236e-06,-0.0021209702623162458,0.04599006995018912,0.039415752239184795,0.028192002045616917,-0.020661510038435995
MCO,0.01752015561305882,0.019655999040716562,0.031717409220235214,0.03174061463535622,0.0521703344801788,0.02648400509195477,0.044070974644070116,0.05901479955763211,0.01499749387368508,0.025510865370044832,0.011961730078391051,-0.007308998467165294,0.02046788406628294,0.013658811476115808,0.018113711698846686,0.022860308796203363,-0.006876218174020876,0.023031665084887035,0.014710022439754672,0.0030998316851303894,9.238220609749317e-05,0.04220086760011844,0.031176802463093317,0.015073629789030122,0.030509516453893222
MKTX,0.014941753318050829,0.004612062990846621,0.0026153083795169133,0.004976355006862409,0.016156573881619167,0.015310950250834636,0.021631962257674043,0.01499749387368508,0.07303812216196767,0.02046723194686981,0.004176264526180669,-0.00013634784295335955,-0.0010105872063830412,0.006452085017795391,0.013234113371037694,0.013181067256254656,-0.01722203205733783,0.00665331007461513,0.0037520861460815817,-0.006962409880968295,-0.004711309427712633,0.004641326258144522,0.01568270739584357,0.032305319098993715,0.06220017417979971
TW,0.026318612495460327,0.009497179420317721,0.012749828878709674,0.01577519879258052,0.02621714793865272,0.02015080297624269,0.028169023061773133,0.025510865370044832,0.02046723194686981,0.0714017781643701,0.003661087407578356,-0.00931904103023116,-0.008508440194343771,0.009837739782552571,0.0070198355106560785,0.024768001150680476,-0.029149863857190858,0.014159994220725126,0.00269107103433404,-0.008521340556812276,-0.01891119084960671,0.027076194585445797,0.006539038355746507,-0.0028818038104919497,-0.033389391681758876
