,ICE,ROP,MA,V,SPGI,TYL,MSCI,MCO,MKTX,TW,ADSK,6861.T,DHR,CSGP,ISRG,WDAY,VACNY,NOW,CDNS,TSM,ASML,FICO,FOUR,SNPS,MRVI
ICE,0.00014537361926998495,7.486448419586142e-05,7.960959414743883e-05,6.923782764179162e-05,0.0001021833483918159,9.138043957411918e-05,0.00010550536357853047,0.00012004899419813006,8.386892447841569e-05,9.111833740203003e-05,0.00010073959648921974,7.68281590034245e-06,7.65462173347805e-05,9.062800709971918e-05,8.856096836946502e-05,8.689674346580689e-05,5.6608534903354165e-05,0.00010202449508156549,8.696560002238588e-05,6.405840629615379e-05,8.433264603414569e-05,0.00010406333638527318,0.00010941601957490844,9.5556602288565e-05,8.238469044141552e-05
ROP,7.486448419586142e-05,0.0001520870140576839,9.553171160568604e-05,9.038005559852791e-05,0.00010329782973169815,0.00011165549630728897,0.00011076516904668522,0.0001250934152479058,7.140347344910165e-05,6.249117841649968e-05,0.00012763802104932904,9.366133744924356e-07,9.714656303206002e-05,0.00011036960167591498,9.684511391845307e-05,0.0001341415843047482,7.624647377498006e-05,0.00014193275667292692,0.0001351038529023893,8.913386282698282e-05,0.00011791601771362985,0.00013622407169292154,0.0001273665693350278,0.00015197276101677716,6.938048473321208e-05
MA,7.960959414743883e-05,9.553171160568604e-05,0.00016781694068402072,0.00013979520181079354,0.00011280489288021596,0.00010274600017694108,0.000119611324534772,0.00013604747030260917,4.645800540895811e-05,6.645270515763173e-05,0.00012695000135760326,2.7148365938668106e-05,9.40460281858387e-05,9.411905735409886e-05,0.00011486843725306028,0.00012993825061497453,7.992021854552683e-05,0.00012848495417492055,0.00011408783613296818,9.066664512555395e-05,0.00011996074053691147,0.00012977641544234845,0.00015098501597082516,0.00013220375305524946,0.00011516733448918169
V,6.923782764179162e-05,9.038005559852791e-05,0.00013979520181079354,0.0001572159271190522,0.00010204861940718342,9.143446232139981e-05,0.0001077358793082176,0.00012582062811082438,4.190064075576787e-05,6.954138196462213e-05,0.00010902598135591742,1.5270851267910432e-05,8.512478599768674e-05,8.400509626661022e-05,0.00010319730813172105,0.00012409916675259702,6.362472591818262e-05,0.0001218690152161539,0.00010696212384916707,8.279995789488042e-05,0.00010404648331350448,0.00012280648677548517,0.00014625969311972428,0.0001274674926214614,0.00011987166889296084
SPGI,0.0001021833483918159,0.00010329782973169815,0.00011280489288021596,0.00010204861940718342,0.00020845654515613333,0.00014674597724485635,0.00017413137180464578,0.00020584069797442226,9.43149302002854e-05,7.932118070559648e-05,0.00014692113465731958,2.429042544079934e-05,0.0001238887867516122,0.00012733702110007822,0.0001415689886991767,0.000135928506481549,0.00011191350631114134,0.00016440628250551456,0.0001387502671421022,0.00011566622959576592,0.00014327054912288475,0.00016405784345635633,0.00017143095463443552,0.00015081853946166405,0.00012727116444501076
TYL,9.138043957411918e-05,0.00011165549630728897,0.00010274600017694108,9.143446232139981e-05,0.00014674597724485635,0.0003214534718591524,0.0001579817194897869,0.00016010766563495166,9.676737080227035e-05,7.493850794496969e-05,0.00018443694948248982,7.449764183834218e-07,0.00010689347979301941,0.00014014859568450347,0.00013692257945942984,0.00019797268070099598,9.834983535195952e-05,0.00021500293997022158,0.0001485076423644466,0.0001238309600337338,0.0001567771542707733,0.00017445033033830512,0.00018275138039749094,0.0001826309490124036,0.00013349980139551565
MSCI,0.00010550536357853047,0.00011076516904668522,0.000119611324534772,0.0001077358793082176,0.00017413137180464578,0.0001579817194897869,0.0003710890085803593,0.00019268777582243424,0.00010126226266360095,0.00010602439191357877,0.00018735180416133042,2.48780507284724e-05,0.00015679554521841246,0.00014435825097452337,0.00015992365451110072,0.00017508990439836419,0.00014031306344391932,0.00020379347185273271,0.00016115435008119883,0.00013872029490295012,0.00018255601769585659,0.00018185496599249816,0.00019715989283612562,0.0001712867942300727,0.00012483432304252485
MCO,0.00012004899419813006,0.0001250934152479058,0.00013604747030260917,0.00012582062811082438,0.00020584069797442226,0.00016010766563495166,0.00019268777582243424,0.0002688022093341706,9.935351380163008e-05,0.00010139523496717999,0.00018792718599994104,3.1520089258487764e-05,0.00014243981346304425,0.0001501789165824679,0.00016869484737118258,0.00017127241033522704,0.00014884785481983045,0.00020310014053513488,0.00017035361952994374,0.00014736337965395264,0.00018491136437724962,0.00021819890705405607,0.00020783805808873986,0.00018299420745449113,0.00015143595705786032
MKTX,8.386892447841569e-05,7.140347344910165e-05,4.645800540895811e-05,4.190064075576787e-05,9.43149302002854e-05,9.676737080227035e-05,0.00010126226266360095,9.935351380163008e-05,0.0005028286344319813,0.00012112653395076866,0.00010006027743269451,3.52856883278812e-05,7.556743282044721e-05,9.210596323411621e-05,3.207699895002332e-05,8.692264182768164e-05,4.8273815586836155e-05,8.370625371452884e-05,7.37782865596392e-05,5.8083536070303964e-05,5.7417088182592165e-05,8.406349686151977e-05,0.0001579660000049469,7.599527907738687e-05,0.00012807996918066006
TW,9.111833740203003e-05,6.249117841649968e-05,6.645270515763173e-05,6.954138196462213e-05,7.932118070559648e-05,7.493850794496969e-05,0.00010602439191357877,0.00010139523496717999,0.00012112653395076866,0.0002778060918676066,7.684647724316684e-05,1.601104866430354e-05,6.340059820250784e-05,5.6259775707117366e-05,7.767459633242184e-05,8.812075291987386e-05,5.855846489242059e-05,0.00010666443630700113,9.355340058624094e-05,9.161763695887405e-05,9.247240783315691e-05,0.00010670149558210481,0.0001012046460177424,9.286809293564259e-05,5.091747278474327e-05
