,weight,risk_share,risk_contrib_vol
FICO,0.03439949334922407,0.047324348350983314,0.008240494628774917
FOUR,0.03207986444623802,0.04722532129403365,0.00822325124435798
NOW,0.03465594263261476,0.0471333497291922,0.00820723641874527
CDNS,0.033458094919516644,0.04619699670391523,0.008044191129284424
ASML,0.03336157050269808,0.04603412049228482,0.008015829818587842
WDAY,0.0384640160256998,0.04555667602032299,0.007932693362538617
MRVI,0.02845921966036606,0.045403469362169095,0.007906015791951772
MCO,0.04068919397397149,0.04484771047710983,0.00780924260295276
ADSK,0.03934007517561164,0.04461976972411704,0.007769551733111613
MSCI,0.0411601946559844,0.044276056047828895,0.007709701554461872
TSM,0.039522188843853896,0.043432873967765184,0.007562879936331764
ISRG,0.04020563841543098,0.04327540886314853,0.007535460850934341
SNPS,0.021724208655533105,0.043231172390882554,0.007527758042025062
VACNY,0.03916270778388229,0.04299972374933136,0.007487456350528021
DHR,0.042656092847651705,0.04066771717912309,0.007081388685875862
TYL,0.04345096961089132,0.04040906660037832,0.007036350375172286
CSGP,0.04353732911385661,0.039908494835998086,0.006949186809704913
SPGI,0.04418380894597674,0.039869115128860856,0.0069423296996451965
MA,0.04579521100554639,0.03514467953864864,0.006119673129365599
V,0.046141152940650576,0.03351252873852595,0.005835469957628059
ROP,0.04617725253017995,0.03334323733745869,0.005805991582757557
MKTX,0.04747339056619051,0.03261817986945704,0.005679738768322414
TW,0.04792841171003806,0.029966240474319953,0.005217961837356819
ICE,0.04748731272232321,0.02917075758918045,0.005079445985143542
6861.T,0.04848665896606965,0.013832985534964207,0.002408710251124359
