,weight_%,risk_share_%,risk_contrib_vol
NOW,3.2002155785613815,4.543331441465155,0.008442525891833908
FOUR,3.0554171852589755,4.5339237048392915,0.008425044213230728
FICO,3.5921814694812886,4.531281447264236,0.008420134307740077
WDAY,3.6189362380834407,4.48939434771136,0.00834229870911271
ADSK,3.65246299403432,4.4890433799913785,0.008341646532598335
CDNS,3.335035225748352,4.485350567841588,0.008334784461761119
SNPS,2.9760090336203837,4.47891907067974,0.008322833301690208
ASML,3.0782295611180803,4.473487228368593,0.008312739723895356
MCO,4.011468258060981,4.419926678118848,0.00821321224321512
TSM,3.543694266698748,4.41404384671099,0.008202280626819084
MRVI,2.9094243686551335,4.413257614686971,0.008200819631885018
MSCI,4.0612658955168826,4.369744807896621,0.008119963105636202
VACNY,3.8971163088042085,4.327987541995185,0.008042368766969291
ISRG,4.0035820924618974,4.284415585711428,0.007961402327733496
TYL,4.256956583918424,4.130781449254731,0.007675915743358986
CSGP,4.351350287377228,4.048210211260163,0.007522479916879835
SPGI,4.387118216068621,4.043798728390819,0.0075142823951217025
DHR,4.336010172063009,4.0149230001581,0.007460624834278711
MA,4.68151981002463,3.519503080848957,0.0065400238281701
MKTX,4.841176231997484,3.4326802604473667,0.006378687610752053
ROP,4.69777633648576,3.4070545771292373,0.006331069360202523
V,4.75177588813005,3.2946372491507705,0.006122172823734358
TW,4.868670867315485,3.138330748564195,0.005831720389157284
ICE,4.845168423347954,3.0442873384283993,0.005656966701195711
6861.T,5.047438707167265,1.6716860930858686,0.003106366617916126
